id,content,type,category
1,How has running influenced you?,question,general
2,I can't believe how fast this week went,statement,daily_experience
3,How do you stay motivated with memories?,question,general
4,How has libraries influenced you?,question,general
5,What's your favorite outdoor activity?,question,preferences
6,Tell me about art,statement,general_statement
7,What's surprising about movies?,question,entertainment
8,What's challenging about communities?,question,general
9,What's your favorite podcasts?,question,preferences
10,What's rewarding about pets?,question,general
11,How do you share nature with others?,question,general
12,How do you stay motivated with parks?,question,general
13,What's surprising about cycling?,question,general
14,What's your favorite travel?,question,preferences
15,What's your favorite cards?,question,preferences
16,What's your favorite childhood memory?,question,preferences
17,What's your take on nature?,question,general
18,What's your spirit animal?,question,general
19,How do you share drawing with others?,question,general
20,Tell me about success,statement,general_statement
21,What's your relationship with nature?,question,relationships
22,What's challenging about beaches?,question,general
23,How would you describe wonder?,question,hypothetical
24,What's your take on goals?,question,general
25,What's interesting about work?,question,career
26,What's challenging about wisdom?,question,general
27,What do you think about photography?,question,opinions
28,How would you describe honesty?,question,hypothetical
29,What hobbies do you enjoy?,question,general
30,What advice would you give about cities?,question,hypothetical
31,What's your goal with independence?,question,general
32,The weather is perfect today,statement,daily_experience
33,What was your favorite game to play with friends?,question,preferences
34,I went to an amazing concert last week,statement,experiences
35,What's your favorite crafts?,question,preferences
36,What's on your mind?,question,general
37,What's your goal with crafts?,question,general
38,What's your relationship with writing?,question,relationships
39,What's rewarding about mountains?,question,general
40,What's your opinion on online dating?,question,opinions
41,What role does goals play in your life?,question,general
42,What do you think about communities?,question,opinions
43,What's your relationship with solitude?,question,relationships
44,What's interesting about reading?,question,general
45,How do you stay motivated with traditions?,question,general
46,What was your favorite toy as a child?,question,preferences
47,What's your take on curiosity?,question,general
48,What's your favorite nature?,question,preferences
49,I experienced something completely new,statement,experiences
50,What do you think about spontaneity?,question,opinions
51,What's your favorite cultural tradition?,question,preferences
52,"If you could meet your future self, what would you ask?",question,hypothetical
53,What's your take on success?,question,general
54,What's rewarding about routine?,question,daily_life
55,What's your take on meditation?,question,general
56,I'm aiming to read more books,statement,future_plans
57,How do you feel about pets?,question,opinions
58,What role does volunteering play in your life?,question,general
59,What's your favorite mode of transportation?,question,preferences
60,How do you share running with others?,question,general
61,How would you describe independence?,question,hypothetical
62,What's challenging about kindness?,question,general
63,How do you unwind after work?,question,career
64,What's the most beautiful thing you've ever seen?,question,general
65,How do you feel about cycling?,question,opinions
66,What do you think about dreams?,question,opinions
67,How do you approach pets?,question,general
68,What's surprising about photography?,question,general
69,How important is pets to you?,question,general
70,What's your favorite type of weather for outdoor activities?,question,preferences
71,What's your most used phone app?,question,general
72,Tell me about solitude,statement,general_statement
73,How do you approach technology?,question,general
74,How do you approach spontaneity?,question,general
75,What's interesting about yoga?,question,general
76,What do you think about nature?,question,opinions
77,What's your comfort movie?,question,entertainment
78,What's challenging about learning?,question,general
79,What's your favorite season and why?,question,preferences
80,What's your goal with kindness?,question,general
81,How do you feel about routine?,question,opinions
82,How important is cities to you?,question,general
83,What role does loyalty play in your life?,question,general
84,What's rewarding about adventure?,question,general
85,What's your take on climate change?,question,general
86,How do you stay motivated with podcasts?,question,general
87,How do you stay motivated with growth?,question,general
88,What's your favorite app?,question,preferences
89,How important is goals to you?,question,general
90,What's your take on memories?,question,general
91,How important is volunteering to you?,question,general
92,What's your goal with peace?,question,general
93,What's challenging about memories?,question,general
94,What's your favorite friendship?,question,preferences
95,What's your favorite photography?,question,preferences
96,What's your take on adventure?,question,general
97,What's your experience with creativity?,question,food
98,How has success influenced you?,question,general
99,What's challenging about podcasts?,question,general
100,How do you stay motivated with books?,question,entertainment
101,What's rewarding about independence?,question,general
102,What advice would you give about dreams?,question,hypothetical
103,What's surprising about family?,question,relationships
104,How would you describe gardening?,question,hypothetical
105,I'm drawn to creative pursuits,statement,general_statement
106,What's surprising about chess?,question,general
107,How do you share memories with others?,question,general
108,Did you have any pets growing up?,question,memories
109,What's interesting about museums?,question,general
110,What's your experience with adventure?,question,general
111,Tell me about movies,statement,general_statement
112,What's your favorite thing about different cultures?,question,preferences
113,How would you describe cards?,question,hypothetical
114,How do you share cards with others?,question,general
115,What's rewarding about friendship?,question,relationships
116,What's your goal with loyalty?,question,general
117,What's challenging about patience?,question,general
118,What's interesting about libraries?,question,general
119,What advice would you give about courage?,question,hypothetical
120,What's interesting about writing?,question,general
121,What's your experience with crafts?,question,general
122,How do you share podcasts with others?,question,general
123,How important is writing to you?,question,general
124,What's your favorite classic movie?,question,preferences
125,What advice would you give about meditation?,question,hypothetical
126,What's your experience with wisdom?,question,general
127,What's interesting about independence?,question,general
128,What's your favorite festivals?,question,preferences
129,What's rewarding about writing?,question,general
130,How do you approach learning?,question,general
131,How would you describe challenges?,question,hypothetical
132,What role does risk play in your life?,question,general
133,What's surprising about parks?,question,general
134,What's your goal with adventure?,question,general
135,How would you describe sports?,question,hypothetical
136,How do you handle stress?,question,general
137,How important is singing to you?,question,general
138,What role does running play in your life?,question,general
139,What's your favorite thing about technology?,question,preferences
140,What's your favorite genre of music?,question,preferences
141,What's your experience with success?,question,general
142,What do you think about innovation?,question,opinions
143,How do you approach concerts?,question,general
144,What's rewarding about spontaneity?,question,general
145,What role does learning play in your life?,question,general
146,I went to a museum and loved it,statement,personal_preferences
147,What's your favorite way to start the week?,question,preferences
148,How would you describe parks?,question,hypothetical
149,I'm planning to start exercising regularly,statement,future_plans
150,How do you approach courage?,question,general
151,What's your approach to making friends?,question,relationships
152,How would you describe beaches?,question,hypothetical
153,What's your favorite holiday?,question,preferences
154,What's your relationship with peace?,question,relationships
155,What do you think about concerts?,question,opinions
156,What's your favorite gardening?,question,preferences
157,How do you feel about traditions?,question,opinions
158,What's your experience with singing?,question,general
159,How do you approach hiking?,question,general
160,I've been spending more time outdoors,statement,general_statement
161,How has goals influenced you?,question,general
162,How do you approach dancing?,question,general
163,How do you approach cities?,question,general
164,What's your goal with drawing?,question,general
165,What's your experience with travel?,question,travel
166,How has dancing influenced you?,question,general
167,What's your relationship with risk?,question,relationships
168,What's surprising about goals?,question,general
169,How would you describe learning?,question,hypothetical
170,How do you approach communities?,question,general
171,How do you stay motivated with pets?,question,general
172,How do you share movies with others?,question,entertainment
173,What do you think about wisdom?,question,opinions
174,How do you stay motivated with loyalty?,question,general
175,What's your relationship with sports?,question,relationships
176,I'm passionate about learning,statement,personal_preferences
177,I'm a bit worried about the future,statement,emotional_expression
178,What's your take on festivals?,question,general
179,What advice would you give about innovation?,question,hypothetical
180,Tell me about cards,statement,general_statement
181,What's the best gift you received as a child?,question,general
182,"If you could read minds, would you want to?",question,hypothetical
183,What's challenging about friendship?,question,relationships
184,What's your relationship with photography?,question,relationships
185,I'm passionate about environmental issues,statement,personal_preferences
186,What's your favorite thing about your current life stage?,question,preferences
187,What advice would you give about museums?,question,hypothetical
188,What's challenging about innovation?,question,general
189,"If you had to give up one of your senses, which would it be?",question,general
190,How do you stay motivated with technology?,question,general
191,How has kindness influenced you?,question,general
192,What's interesting about sports?,question,general
193,How has hobbies influenced you?,question,general
194,How would you describe happiness?,question,hypothetical
195,What's challenging about travel?,question,travel
196,What's your goal with beaches?,question,general
197,What's your favorite thing about learning new skills?,question,preferences
198,How do you approach creativity?,question,food
199,How do you share hobbies with others?,question,general
200,What advice would you give about challenges?,question,hypothetical
201,What's your take on books?,question,entertainment
202,How do you approach reading?,question,general
203,Did you have a special blanket or stuffed animal?,question,general
204,What's your ideal learning environment?,question,general
205,How do you approach mountains?,question,general
206,How has hiking influenced you?,question,general
207,What do you think about discovery?,question,opinions
208,What's your take on cycling?,question,general
209,What's your take on companionship?,question,general
210,How do you approach chess?,question,general
211,What's challenging about gardening?,question,general
212,What's your favorite streaming service?,question,preferences
213,How do you stay motivated with meditation?,question,general
214,How would you describe puzzles?,question,hypothetical
215,Are you more of an introvert or extrovert?,question,general
216,How do you approach art?,question,general
217,How do you approach sports?,question,general
218,What's your take on traditions?,question,general
219,What's interesting about books?,question,entertainment
220,What's interesting about photography?,question,general
221,What's your goal with dancing?,question,general
222,Tell me about innovation,statement,general_statement
223,What role does courage play in your life?,question,general
224,How do you stay motivated with wisdom?,question,general
225,I went to a festival,statement,experiences
226,What's your favorite sports?,question,preferences
227,How do you stay motivated with cards?,question,general
228,What's your relationship with puzzles?,question,relationships
229,What's your take on happiness?,question,general
230,What advice would you give about nature?,question,hypothetical
231,What's your favorite genre of movies?,question,preferences
232,Tell me about museums,statement,general_statement
233,What's your take on learning?,question,general
234,What's rewarding about music?,question,entertainment
235,What advice would you give about festivals?,question,hypothetical
236,What's the highlight of your week so far?,question,general
237,How important is museums to you?,question,general
238,How has sports influenced you?,question,general
239,How important is change to you?,question,general
240,What's your take on dancing?,question,general
241,What's your favorite type of cuisine?,question,preferences
242,Tell me about companionship,statement,general_statement
243,"If you could learn any skill instantly, what would it be?",question,hypothetical
244,What advice would you give about memories?,question,hypothetical
245,What's new with you?,question,general
246,How do you approach running?,question,general
247,What's surprising about adventure?,question,general
248,What's interesting about concerts?,question,general
249,How do you share writing with others?,question,general
250,How do you share change with others?,question,general
251,What's surprising about beaches?,question,general
252,I really value honesty,statement,personal_preferences
253,What's interesting about change?,question,general
254,What's your experience with art?,question,general
255,What's interesting about travel?,question,travel
256,What's rewarding about dreams?,question,general
257,How do you feel about adventure?,question,opinions
258,What do you think about art?,question,opinions
259,What role does independence play in your life?,question,general
260,How do you feel about reading?,question,opinions
261,How do you share cities with others?,question,general
262,How do you think we can make the world better?,question,opinions
263,What's your relationship with chess?,question,relationships
264,What's your take on wisdom?,question,general
265,How do you approach festivals?,question,general
266,What's rewarding about learning?,question,general
267,How do you stay motivated with sports?,question,general
268,What's your goal with pets?,question,general
269,What advice would you give about change?,question,hypothetical
270,What's your goal with work?,question,career
271,How important is discovery to you?,question,general
272,What's your favorite creativity?,question,preferences
273,How important is challenges to you?,question,general
274,How important is family to you?,question,relationships
275,What was your favorite birthday party?,question,preferences
276,Do you think the world is getting better or worse?,question,opinions
277,What scared you the most as a child?,question,general
278,What's your take on running?,question,general
279,How do you approach hobbies?,question,general
280,Tell me about peace,statement,general_statement
281,What's rewarding about festivals?,question,general
282,How has books influenced you?,question,entertainment
283,How do you stay motivated with creativity?,question,food
284,How important is movies to you?,question,entertainment
285,What's your ideal Saturday?,question,daily_life
286,What's your experience with risk?,question,general
287,What role does family play in your life?,question,relationships
288,How do you feel about meditation?,question,opinions
289,What advice would you give about sports?,question,hypothetical
290,How do you feel about libraries?,question,opinions
291,How would you describe swimming?,question,hypothetical
292,How has dreams influenced you?,question,general
293,What role does kindness play in your life?,question,general
294,What's interesting about mountains?,question,general
295,What's your take on communities?,question,general
296,What type of music do you listen to when you're sad?,question,entertainment
297,How do you stay motivated with learning?,question,general
298,How important is yoga to you?,question,general
299,Do you believe in soulmates?,question,opinions
300,How do you share learning with others?,question,general
301,What's challenging about games?,question,general
302,What advice would you give about concerts?,question,hypothetical
303,What's rewarding about traditions?,question,general
304,What sports do you like to watch or play?,question,preferences
305,What's your experience with yoga?,question,general
306,How do you feel about independence?,question,opinions
307,What have you been up to lately?,question,general
308,I'm planning to organize my finances better,statement,future_plans
309,How do you approach routine?,question,daily_life
310,Tell me about swimming,statement,general_statement
311,Tell me about concerts,statement,general_statement
312,What's challenging about mountains?,question,general
313,What advice would you give about yoga?,question,hypothetical
314,What's challenging about libraries?,question,general
315,What's your relationship with music?,question,entertainment
316,What's surprising about friendship?,question,relationships
317,What role does friendship play in your life?,question,relationships
318,How do you stay motivated with drawing?,question,general
319,What role does music play in your life?,question,entertainment
320,What's your experience with running?,question,general
321,I absolutely love trying new foods,statement,personal_preferences
322,What's interesting about success?,question,general
323,How do you approach memories?,question,general
324,How do you approach books?,question,entertainment
325,What's rewarding about puzzles?,question,general
326,What's your biggest inspiration?,question,general
327,How do you approach drawing?,question,general
328,How do you share honesty with others?,question,general
329,What's your goal with sports?,question,general
330,What's surprising about dreams?,question,general
331,What's your goal with parks?,question,general
332,How would you describe singing?,question,hypothetical
333,What's challenging about growth?,question,general
334,What's something new you learned recently?,question,general
335,How do you share dancing with others?,question,general
336,How important is meditation to you?,question,general
337,How would you describe discovery?,question,hypothetical
338,What's your goal with solitude?,question,general
339,What's your goal with art?,question,general
340,What's interesting about happiness?,question,general
341,What's your goal with memories?,question,general
342,What role does happiness play in your life?,question,general
343,What advice would you give about cards?,question,hypothetical
